-138.367  230 1 3
-138.055  250 2 3
-137.977   22 3 1
-137.742  274 1 3
-137.43   297 2 3
-137.117  317 1 3
-136.977   54 3 1
-136.805  338 2 3
-136.492  363 1 3
-136.18   385 2 3
-135.977   51 3 1
-135.867  408 1 3
-135.555  434 2 3
-135.242  473 1 3
-134.977   51 3 1
-134.93   521 2 3
-134.617  564 1 3
-134.305  613 2 3
-133.992  682 1 3
-133.977   63 3 1
-133.68   719 2 3
-133.367  765 1 3
-133.055  826 2 3
-132.977   62 3 1
-132.742  900 1 3
-132.43   955 2 3
-132.117 1025 1 3
-131.977   93 3 1
-131.852  126 8 0
-131.805 1107 2 3
-131.492 1173 1 3
-131.18  1300 2 3
-130.977   89 3 1
-130.867 1396 1 3
-130.555 1485 2 3
-130.242 1584 1 3
-129.977  125 3 1
-129.93  1722 2 3
-129.617 1863 1 3
-129.305   61 2 4
-128.992   64 1 4
-128.977  132 3 1
-128.68    70 2 4
-128.367   75 1 4
-128.055   81 2 4
-127.977  181 3 1
-127.742   88 1 4
-127.43    99 2 4
-127.117  106 1 4
-126.977    5 3 2
-126.805  111 2 4
-126.492  118 1 4
-126.18   124 2 4
-125.977    8 3 2
-125.867  134 1 4
-125.555  151 2 4
-125.242  159 1 4
-124.977    5 3 2
-124.93   168 2 4
-124.617  176 1 4
-124.305  194 2 4
-123.992  213 1 4
-123.977   11 3 2
-123.852  119 6 0
-123.68   232 2 4
-123.367  244 1 4
-123.055  257 2 4
-122.977   17 3 2
-122.742  274 1 4
-122.43   290 2 4
-122.117  308 1 4
-121.977   16 3 2
-121.805  324 2 4
-121.492  341 1 4
-121.18   362 2 4
-120.977   22 3 2
-120.867  390 1 4
-120.555  415 2 4
-120.242  440 1 4
-119.977   43 3 2
-119.93   470 2 4
-119.617  497 1 4
-119.305  526 2 4
-118.992  562 1 4
-118.977   66 3 2
-118.68   623 2 4
-118.367  660 1 4
-118.055  692 2 4
-117.977   39 3 2
-117.742  724 1 4
-117.43   768 2 4
-117.117  819 1 4
-116.977  112 3 2
-116.805  884 2 4
-116.492  946 1 4
-116.18  1007 2 4
-115.977  133 3 2
-115.867 1056 1 4
-115.852  120 7 0
-115.555 1109 2 4
-115.242 1158 1 4
-114.977   23 3 3
-114.93  1225 2 4
-114.617 1308 1 4
-114.305 1369 2 4
-113.992 1458 1 4
-113.977    8 3 3
-113.68  1540 2 4
