 49 250 243  32  48  38 199 122  66 229  47 210 232 116  45 226 204  48  39 178 246  49  50 214  95  46
 50  83  14  49 199  50 219 164  50 147  13  49 134 194 221  49  83  39  83  49 114 219  49 214 195  28
 51  50  19  25  76  51 183 138  67  59  51 182 114 250  48  51  49  51 213  98 252  51 227  87  75  51
 52 211  35  51 230 163  98 164  54 243  61  47  51 163 123  57 198 211  98  51 195  97  58 130  99 113
 53  56 115  79  98 118 164  54 227 119  56   1 163 108  56  19 178 102  56  67 115  56 226 147 124  57
 54 211 162  52  38 170  67 131  57 163 176  13  55  83 114  55 229 131 136  57 131 103  14  56  67 172
 55  61 229   3 167 120 164  55 163 166  57 242  19 178  55 195 134  60  54 243 185  58  83 163 148  55
 56 227 154  54  56 234  67 192  58  82  99 133  58  19 187  58  33  83 143  58 147 160  50  56  83 121
 57  57 145 215 227 204 164  59  19 139  46  57  67  97  56 177 163 183  53 163  92  57  35  83 137  55
 58 131 126   5 164  55 115 135  56   3  67 142  55  99 134  17  54  99 125  58 146 131 106  55   3 128
 59 250 243  32  57 160 215 122  67 131  57 179 116  37  55  35 172  55  33   3 152  54 243 110  30  59
