    .0958846658      -.4846398532       .8694425821       
     70.000             75.86132                          
   -61784.30469       28819.22852       21561.78906       
   -9.607034683     -16.846393585      -8.848773956       
   -.8626658320       .3953185081       .3154850602       
    .4966282845       .7802944183       .3801328242       
    .0958977118      -.4846065044       .8694598079       
     71.000             74.74055                          
   -61793.75000       28802.70313       21553.12500       
   -9.282220840     -16.222356796      -8.490112305       
   -.8628302813       .3950653076       .3153528571       
    .4963732064       .7804278135       .3801921308       
    .0959094167      -.4845740795       .8694766164       
     72.000             73.70006                          
   -61802.88281       28786.75977       21544.79492       
   -8.993022919     -15.668725967      -8.171947479       
   -.8629360795       .3949019611       .3152678609       
    .4961271584       .7805563211       .3802492917       
    .0959231555      -.4845438302       .8694918156       
     73.000             72.73001                          
   -61811.75000       28771.34961       21536.77148       
   -8.735148430     -15.177065849      -7.889432430       
   -.8630899191       .3946642280       .3151445985       
    .4958891869       .7806807756       .3803046048       
    .0959346816      -.4845138788       .8695073128       
     74.000             71.82176                          
   -61820.36719       28756.39453       21529.00781       
   -8.504686356     -14.739675522      -7.638136387       
   -.8632017374       .3944909871       .3150550425       
    .4956581295       .7808012366       .3803581893       
    .0959474966      -.4844855368       .8695217371       
     75.000             70.96778                          
   -61828.76953       28741.85742       21521.48633       
   -8.298063278     -14.349455833      -7.413980484       
   -.8633466959       .3942662477       .3149392009       
    .4954334795       .7809184790       .3804102838       
    .0959588885      -.4844574034       .8695359826       
     76.000             70.16154                          
   -61836.96875       28727.67773       21514.16992       
   -8.112318039     -14.000583649      -7.213611603       
   -.8635334373       .3939759135       .3147901893       
    .4952145517       .7810326219       .3804610670       
    .0959689170      -.4844295979       .8695504665       
     77.000             69.39729                          
   -61844.99219       28713.83789       21507.05078       
   -7.944890022     -13.687983513      -7.034114838       
   -.8636243939       .3938344121       .3147177696       
    .4950006008       .7811440229       .3805106282       
    .0959817469      -.4844037890       .8695634007       
     78.000             68.67002                          
   -61852.86328       28700.29297       21500.09766       
   -7.793531895     -13.407225609      -6.872940540       
   -.8637138605       .3936950564       .3146466017       
    .4947912395       .7812531590       .3805590868       
    .0959944129      -.4843786061       .8695760369       
     79.000             67.97530                          
   -61860.58984       28687.01367       21493.29883       
   -7.656298161     -13.154448509      -6.727869511       
   -.8638888597       .3934221864       .3145076334       
    .4945859909       .7813599110       .3806065321       
    .0960046127      -.4843529165       .8695892692       
     80.000             67.30930                          
   -61868.18359       28673.97852       21486.63867       
   -7.531463146     -12.926230431      -6.596929550       
   -.8639317751       .3933551013       .3144735098       
    .4943844378       .7814647555       .3806531727       
    .0960181281      -.4843292832       .8696008921       
     81.000             66.66861                          
   -61875.66016       28661.15820       21480.10156       
   -7.417476177     -12.719453812      -6.478328228       
   -.8640382290       .3931890726       .3143892884       
    .4941861928       .7815678120       .3806990087       
    .0960298777      -.4843052626       .8696128726       
     82.000             66.05032                          
   -61883.01563       28648.53516       21473.67773       
   -7.313091755     -12.531643867      -6.370639801       
   -.8642048836       .3929281235       .3142572045       
    .4939909875       .7816691995       .3807440400       
    .0960401446      -.4842811227       .8696252108       
     83.000             65.45181                          
   -61890.28125       28636.08594       21467.35547       
   -7.217237473     -12.360675812      -6.272642612       
   -.8642867208       .3927996755       .3141923547       
    .4937986135       .7817692161       .3807885051       
    .0960522965      -.4842582643       .8696367741       
     84.000             64.87080                          
   -61897.44922       28623.80273       21461.12891       
   -7.128983974     -12.204700470      -6.183272362       
   -.8643680811       .3926725090       .3141281903       
    .4936087132       .7818677425       .3808323145       
    .0960643291      -.4842356741       .8696479797       
     85.000             64.30522                          
   -61904.54688       28611.67578       21454.98828       
   -7.047511101     -12.062090874      -6.101592541       
   -.8645279408       .3924213350       .3140017390       
    .4934211671       .7819649577       .3808755279       
    .0960747078      -.4842126667       .8696595430       
     86.000             63.75328                          
   -61911.55859       28599.67773       21448.92383       
   -6.972106457     -11.931425095      -6.026783943       
   -.8646067977       .3922973275       .3139394224       
    .4932357669       .7820612192       .3809182942       
    .0960866287      -.4841907322       .8696705103       
     87.000             63.21334                          
   -61918.49609       28587.81055       21442.93359       
   -6.902143478     -11.811450005      -5.958126545       
   -.8646850586       .3921742439       .3138776422       
    .4930522144       .7821562886       .3809605241       
    .0960984901      -.4841690361       .8696812987       
     88.000             62.68397                          
   -61925.36328       28576.05273       21437.00586       
   -6.837062359     -11.701038361      -5.894968510       
   -.8647965193       .3919987977       .3137896657       
    .4928705394       .7822505236       .3810024261       
    .0961096510      -.4841472805       .8696920872       
     89.000             62.16391                          
   -61932.16406       28564.40234       21431.14063       
   -6.776354790     -11.599146843      -5.836711407       
   -.8648847938       .3918598890       .3137201667       
    .4926905036       .7823436856       .3810437918       
    .0961211994      -.4841259122       .8697027564       
     90.000             61.65205                          
   -61938.91016       28552.85156       21425.33203       
   -6.719608784     -11.504958153      -5.782881260       
   -.8650591373       .3915848434       .3135826886       
    .4925119579       .7824360728       .3810848892       
    .0961313397      -.4841042161       .8697137237       
     91.000             61.14738                          
   -61945.60156       28541.38672       21419.57227       
   -6.666460037     -11.417734146      -5.733055115       
   -.8651740551       .3914035857       .3134922385       
    .4923348427       .7825276852       .3811255693       
    .0961424559      -.4840831459       .8697242737       
     92.000             60.64901                          
   -61952.25000       28530.01758       21413.86523       
   -6.616581440     -11.336823463      -5.686856747       
   -.8652877808       .3912236094       .3134025335       
    .4921590686       .7826186419       .3811659813       
