   0  15.500 Hi 75             
 333  45.    Hi 75             
 334  46.    Hi 75             
 335  47.    Hi 75             
 336  48.    Hi 75             
 337  49.    Hi 75             
 338  50.    Hi 75             
 339  51.    Hi 75             
 340  52.    Hi 75 m           
 341  53.    Hi 75             
 342  54.    Hi 75             
 343  55.    Hi 75             
 344  56.    Hi 75             
 345  57.    Hi 75             
 346  58.    Hi 75             
 347  59.    Hi 75             
 348  60.    Hi 75             
 349  61.    Hi 75             
 350  62.    Hi 75             
 351  63.    Hi 75 m           
 352  64.    Hi 75             
 353  65.    Hi 75             
 354  66.    Hi 75             
 355  67.    Hi 75             
 356  68.    Hi 75             
 357  72.    Hi 75             
 358  73.    Hi 75 m           
 359  74.    Hi 75             
 360  75.    Hi 75             
 361  76.    Hi 75             
 362  77.    Hi 75             
 363  78.    Hi 75             
 364  80.    Hi 75             
 365  81.    Hi 75             
 366  82.    Hi 75 m           
 367  83.    Hi 75             
 368  84.    Hi 75             
 369 122.    Hi 75             
 370 124.    Hi 75             
 371 152.    Hi 75             
 372   2.    Hi 75 m           
 373   3.    Hi 75             
 374   4.    Hi 75             
 375  12.    Hi 75             
 376  13.    Hi 75             
 377  14.    Hi 75             
 378  15.    Hi 75             
 379  16.    Hi 75 m           
 380  17.    Hi 75             
 381  18.    Hi 75             
 382  19.    Hi 75             
 383  20.    Hi 75             
 384  21.    Hi 75             
 385  22.    Hi 75             
 386  23.    Hi 75             
 387  24.    Hi 75             
 388  25.    Hi 75             
 389  26.    Hi 75             
 390  27.    Hi 75             
 391  28.    Hi 75 m           
 392  29.    Hi 75             
 393  30.    Hi 75             
 394  31.    Hi 75             
 395  32.    Hi 75 m           
 396  33.    Hi 75             
 397  34.    Hi 75             
 398  35.    Hi 75             
 399  36.    Hi 75             
 400  37.    Hi 75             
 401  38.    Hi 75             
 402  39.    Hi 75             
 403  40.    Hi 75 m           
 404  41.    Hi 75             
 405  42.    Hi 75             
 406  43.    Hi 75             
 407  44.    Hi 75             
 408  47.    Hi 75             
 409  52.    Hi 75             
 410  58.    Hi 75             
 411  59.    Hi 75             
 412  60.    Hi 75             
 413  62.    Hi 75             
 414  64.    Hi 75             
 415  65.    Hi 75 m           
 416  66.    Hi 75             
 417  68.    Hi 75             
 418  72.    Hi 75             
 419  73.    Hi 75             
 420  74.    Hi 75             
 421  75.    Hi 75             
 422  76.    Hi 75 m           
 423  77.    Hi 75             
 424  78.    Hi 75             
 425  80.    Hi 75             
 426  81.    Hi 75             
 427  82.    Hi 75             
 428  83.    Hi 75             
 429  84.    Hi 75             
 430 122.    Hi 75             
 431 124.    Hi 75 m           
 432   2.    Hi 75 m           
 433   3.    Hi 75             
 434   4.    Hi 75             
 435  12.    Hi 75             
 436  13.    Hi 75             
 437  14.    Hi 75             
 438  15.    Hi 75             
 439  16.    Hi 75             
 440  17.    Hi 75             
 441  18.    Hi 75 m           
 442  19.    Hi 75             
 443  20.    Hi 75             
 444  21.    Hi 75             
 445  22.    Hi 75             
 446  23.    Hi 75             
 447  24.    Hi 75             
 448  25.    Hi 75             
 449  26.    Hi 75             
 450  27.    Hi 75             
 451  28.    Hi 75             
 452  29.    Hi 75             
 453  30.    Hi 75             
 454  31.    Hi 75             
 455  32.    Hi 75 m           
 456  33.    Hi 75             
